"logFC","logCPM","PValue","FDR"
"Tcas008614",3.32088968436154,9.08393789713627,8.16680630381807e-19,8.16027285877501e-15
"Tcas001445",2.96759068153489,7.44203566161208,1.31300555799304e-16,6.55977576773322e-13
"Tcas009545",-3.22532201882879,3.95264002380353,1.11213969499826e-15,3.70416661080753e-12
"Tcas010348",1.78666055075201,4.94628167478005,4.07417060160067e-15,1.01772781627985e-11
"Tcas001544",3.38140154617424,5.77189064051348,8.27736151169892e-15,1.65414792449791e-11
"Tcas012473",3.52468760067229,1.72474057228756,6.09255765974842e-14,1.01461393560344e-10
"Tcas010260",-1.91613116886419,6.62935029704061,7.5029589075726e-14,1.07099379149236e-10
"Tcas003161",-4.02648466632162,4.22485881800419,1.17393313624093e-13,1.46624248716492e-10
"Tcas000381",-1.97444544633369,3.42068409166722,2.72226720221611e-13,3.02232154272704e-10
"Tcas011097",1.44388923366856,6.36265828981855,3.03854370208517e-13,3.0361128671235e-10
"Tcas010750",-2.40292715364174,3.05157852482559,2.99077483271186e-12,2.71671110258699e-09
"Tcas005259",2.70322379212513,11.1143600304619,5.46132760226218e-12,4.54746545015031e-09
"Tcas005008",-1.57700820900951,6.32594550154268,6.48728536137456e-12,4.98622733314267e-09
"Tcas006511",-2.10050986931378,3.29550327571555,2.03916528024317e-11,1.45538139144212e-08
"Tcas008014",2.43266788630661,8.66301986289366,3.01528708561303e-11,2.00858323729636e-08
"Tcas011630",-2.64356605183303,8.55468099099044,5.17498359087703e-11,3.2317772525027e-08
"Tcas007531",1.97961578621887,5.91472052784908,1.28076803413255e-10,7.52790246885438e-08
"Tcas011971",-1.83446387790696,7.22875080764247,1.7860998428064e-10,9.76540936085978e-08
"Tcas012143",-1.68761038556803,7.69129917365095,1.85691330921073e-10,9.76540936085978e-08
"Tcas009886",1.8002208694616,8.62029172688309,2.02682759447851e-10,1.01260306620146e-07
"Tcas003069",-2.46380550054554,2.86112485152856,2.17314031236123e-10,1.03400085719587e-07
"Tcas003434",1.62003217030047,6.34439970292083,2.65612681545669e-10,1.2063645063656e-07
"Tcas004748",-1.83233567431896,6.04239817838509,7.12828784010984e-10,3.09677617819033e-07
"Tcas005162",1.78767860783601,9.953552167288,7.52870534316323e-10,3.13445099120362e-07
"Tcas005777",-8.77732536873342,2.6220765124248,9.91566454320224e-10,3.78392311781942e-07
"Tcas004278",2.59800573599167,10.5717025793076,1.01522092283966e-09,3.78392311781942e-07
"Tcas005904",2.88499597064555,8.48896610636081,1.02247722359012e-09,3.78392311781942e-07
"Tcas010013",1.83330557045469,6.72524871078701,1.2823619755747e-09,4.57620030712229e-07
"Tcas010433",1.65549991820036,5.12365952678223,1.4175344914289e-09,4.88413953046811e-07
"Tcas007069",1.54969870207364,7.16505743134777,3.54015482345835e-09,1.17910756653319e-06
"Tcas004090",-1.69725674565201,6.9631509296579,7.33580951125961e-09,2.36449705279052e-06
"Tcas011047",1.25433662773096,7.59492930391606,8.59048069966688e-09,2.68237759847098e-06
"Tcas004599",1.9520677531384,4.75118093818306,1.00595132984806e-08,3.04589869328541e-06
"Tcas005611",1.38832816673719,8.25367569500276,1.08816425684914e-08,3.19792272189312e-06
"Tcas004279",2.01748258218172,11.3497718917049,1.6611416243872e-08,4.62146555655951e-06
"Tcas000686",-1.27120137065876,6.41459579147265,1.66505964807989e-08,4.62146555655951e-06
"Tcas012194",-1.7351772780485,2.84188863323832,1.88141913897114e-08,5.04411416377344e-06
"Tcas007629",1.65100575833727,8.19892155089232,1.91829802065043e-08,5.04411416377344e-06
"Tcas004697",1.54541898883768,4.64567001636688,2.7712830256254e-08,7.10016922873051e-06
